ship_name,total_ship_battles
Shimakaze,6290
Montana,5374
North Carolina,4960
Iowa,4657
New Mexico,4196
Bismarck,3622
Wyoming,3222
St. Louis,3020
New York,2744
Colorado,2451
South Carolina,2450
Omaha,2431
Wickes,2370
Des Moines,2334
Petropavlovsk,2311
Gneisenau,2214
Grosser Kurfürst,2068
Neptune,1975
Gearing,1897
Gangut,1884
Phoenix,1874
Yorck,1763
Shchors,1709
Nicholas,1705
Chester,1638
König,1588
Nürnberg,1585
Clemson,1564
Fiji,1511
Kagerō,1433
Friedrich der Grosse,1414
Bayern,1399
Kuma,1395
Minekaze,1346
Leander,1315
Emerald,1303
Fusō,1250
Minotaur,1228
Balao,1219
Kongō,1198
Königsberg,1179
Erie,1174
Myōgi,1166
U-2501,1149
Furutaka,1148
Sampson,1109
Farragut,1108
King George V,1076
Benson,1070
Cleveland,990
Smolensk,987
Kaiser,985
Isokaze,978
Edinburgh,977
Thunderer,972
Tenryū,953
Zaō,929
Fletcher,903
Conqueror,896
Black Swan,894
Akatsuki,889
Mahan,883
Orlan,875
Daring,859
Émile Bertin,847
Midway,842
Harugumo,837
Hindenburg,836
Aoba,836
Yamato,834
Amagi,827
Caledon,825
Ohio,796
Yūgumo,789
Admiral Hipper,742
Fubuki,731
Kolberg,731
Kawachi,729
Karlsruhe,724
U-190,719
Schlieffen,714
Lyon,682
Baltimore,681
Nagato,680
Kitakaze,671
Pensacola,664
Danae,656
Worcester,651
Napoli,649
Moskva,649
Austin,647
Akizuki,640
Mogami,639
Nassau,637
Orion,634
Langley,627
Shiratsuyu,626
Myōkō,603
Chapayev,600
Lion,596
Dmitri Donskoi,586
Queen Elizabeth,567
Budyonny,566
Venezia,565
Lightning,564
Mutsuki,560
Ibuki,551
Buffalo,544
Wakatake,534
Vermont,531
Hatsuharu,510
Kléber,509
Bourgogne,507
Forrest Sherman,505
Dallas,499
New Orleans,499
Yoshino,487
Hermelin,487
Chikuma,477
Ernst Gaede,475
République,465
Monarch,461
Izumo,460
Yueyang,455
Salem,452
Seattle,445
Pyotr Velikiy,444
Småland,444
Implacable,442
T-22,437
Vampire II,436
Iron Duke,434
Umikaze,429
Dresden,427
Le Fantasque,423
Zieten,422
Mecklenburg,420
Algérie,419
Sovetsky Soyuz,416
Izyaslav,413
V-170,411
Lexington,407
Svietlana,407
Sinop,406
Charles Martel,401
Wisconsin,375
Izmail,370
Ipiranga,368
La Galissonnière,366
Ranger,365
Stalingrad,361
Mogador,357
Helena,352
Weymouth,349
Derzki,345
Leberecht Maass,344
Hashidate,343
Puerto Rico,342
Jutland,313
Duguay-Trouin,308
U-69,308
Richelieu,303
Max Immelmann,298
Bellerophon,293
Icarus,292
Goliath,286
Saint-Louis,283
United States,281
Hōshō,277
Zorkiy,273
Storozhevoi,273
Salmon,272
Tegetthoff,265
Bogatyr,262
Slava,258
Prinz Rupprecht,257
G-101,253
Normandie,249
Alsace,247
Vladivostok,247
Furious,245
Hermes,241
Riga,239
Cachalot,237
Kansas,235
Brindisi,233
Devonshire,228
Roon,227
Jinan,226
Albemarle,225
Cristoforo Colombo,224
Guépard,221
Shōkaku,221
Vauquelin,217
Francesco Caracciolo,216
Maine,213
Z-23,212
Kremlin,210
V-25,210
Halland,205
Bougainville,205
Jervis,205
Plymouth,200
Audacious,194
Friant,191
Marceau,190
Jaguar,179
Shikishima,179
Prinz Heinrich,179
Östergötland,178
Preussen,176
Alexander Nevsky,172
Amalfi,171
Defence,170
Tallinn,166
Brisbane,164
Malta,162
Almirante Cochrane,161
Novik,160
Jianwei,154
Acasta,153
Ryūjō,152
Drake,151
Zara,149
Gibraltar,147
Bretagne,146
Jurien de la Gravière,145
Elbing,145
Kotovsky,145
Fushun,143
Trento,136
St. Vincent,135
Incomparable,134
Vittorio Veneto,134
Hawkins,131
Córdoba,131
Hakuryū,128
Lepanto,124
Udaloi,124
Minnesota,123
Duncan,122
Undine,121
Vicente Guerrero,119
Alberico da Barbiano,119
Hawke,118
Eagle,117
Raimondo Montecuccoli,117
Gadjah Mada,115
Henri IV,114
Ignacio Allende,114
August von Parseval,113
Harbin,113
Z-46,112
Västerås,112
Ognevoi,110
Rooke,109
Khabarovsk,109
Sturdy,109
Kiev,108
Gnevny,108
Öland,107
Los Andes,105
Brest,105
Chumphon,103
Lambros Katsonis,101
Wakeful,100
Z-31,100
Bremen,98
Surrey,98
Split,92
Sejong,91
Mackensen,90
Haarlem,90
Druid,88
Hayate,84
Nebraska,83
Eendracht,82
Takahashi,82
Adriatico,82
Skåne,79
Yumihari,79
Minsk,79
Knyaz Suvorov,78
Jaarsveld,78
Grozovoi,78
Sibir,77
Yavuz Sultan Selim,77
Tashkent,75
Cataluña,75
Libertad,74
Derfflinger,74
Valkyrie,73
Gouden Leeuw,73
Cherbourg,72
Andalucía,71
Chios,70
Phra Ruang,70
Renown,70
Turenne,68
Eritrea,68
Ragnar,68
Shenyang,67
Rhode Island,67
Z-52,66
Longjiang,64
Omono,64
Tiger,63
Louisiana,62
Felix Schultz,62
Coronel Bolognesi,61
Hannover,60
Johan de Witt,58
Hawaii,58
Annapolis,58
Edgar,57
Hsienyang,57
Chung Mu,57
Visby,56
Shimanto,56
Weser,55
Hobart,54
Satsuma,54
Luca Tarigo,54
San Martín,53
Orage,53
Independence,53
Aviere,53
Maestrale,52
Conte di Cavour,52
Seal,51
Adatara,50
Vittorio Cuniberti,50
Alberto di Giussano,50
Rhein,49
Chengan,49
Podvoisky,48
Delaware,47
Bourrasque,46
Santander,46
Ruggiero di Lauria,46
Gokase,45
Condé,44
PTRPVLSK,44
Asturias,44
Kunming,44
Andrea Doria,43
Cassard,42
Menno van Coehoorn,42
Queen Mary,42
Taranto,42
Tromp,41
Castilla,41
Grom,40
Celebes,40
Metz,40
Marseille,40
Yodo,39
Thrasher,39
Tempesta Nera,38
Prins van Oranje,38
Lüshun,37
Serov,37
Encounter,36
Yorktown,36
Delhi,35
Baleares,35
Bungo,35
Essex,34
Pobeda,34
Gdańsk,34
Varese,33
Chungking,32
La Pampa,32
Agano,31
Nino Bixio,31
Z-42,30
Manteuffel,30
Deutschland,29
Knesebeck,29
Svea,28
Gustav-Julius Maerker,28
Incheon,27
La Argentina,27
Kijkduin,26
Courbet,26
Fusilier,25
Dalarna,25
Uganda,25
Oregon,24
Attilio Regolo,24
Monmouth,23
Novosibirsk,23
Georg Hoffmann,23
Vyazma,23
Joshua Humphreys,23
Yamagiri,23
Delny,22
Irresistible,22
Thor,22
Christopher,22
Medea,22
Clausewitz,21
Hughes,21
Piemonte,21
Romulus,21
Rahmat,19
L'Adroit,19
L'Aventurier,19
Devastation,18
De Ruyter,18
Utrecht,18
Osborne,18
Von der Tann,17
Dante Alighieri,17
U-4501,17
Jacksonville,17
Prinz Adalbert,17
Komissar,17
Gryf,16
Auckland,15
Châteaurenault,15
Enseigne Gabolde,14
Kushiro,14
Enigheten,14
Willem de Eerste,14
Moltke,14
Laffey,13
Stord,13
Klas Horn,13
Cerberus,13
Álvaro de Bazán,13
Le Hardi,12
Protector,12
Komsomolets,12
S-1,12
Dunedin,11
Indefatigable,11
Almirante Cervera,11
Gelderland,9
Van Kinsbergen,9
Sicilia,9
Hildebrand,8
Muavenet,8
Hull,8
Turbine,8
Burrows,7
Colbert,7
Galicia,7
Aki,7
Patrie,6
L-20,6
Gato,6
Sharqi,6
Curtatone,5
Java,5
Hércules,5
Tátra,5
Admiral Scheer,5
Admiral Nakhimov,5
Duchaffault,4
Júpiter,4
Von Zuckerhoff,4
Franklin D. Roosevelt,3
Almirante Barroso,3
Pioneer,3
Méndez Núñez,3
Surcouf,2
Admiral Ushakov,2
Nazario Sauro,1
Hotaka,1
Laudon,1
Manfred von Richthofen,1
Navarra,1
